"Var","Obs","Mean","Std","Min","Max","Median","P25","P75"
"Year",48256,2019.5149204244,2.86825802516818,2015,2024,2020,2017,2022
"Vol_High_VaR",48256,0.016503722235233,0.00840681469544913,0.000178210950441164,0.078184779325736,0.0148664831712106,0.0104894358147812,0.0204996741444964
"Asset",43416,406601836553.905,607846711331.352,14626511627.75,2.75271e+12,220708243986.79,105781391621,349359919000
"Asset_LastY",48256,400254336895.913,603792564321.514,14626511627.75,2.75271e+12,216278588000,102253097283,340109262000
"Equity",43416,201388536600.837,343068752979.557,9861210315.28,1.630621e+12,76748665687,48822847220,128085271000
"Equity_LastY",48256,197038783181.462,339633359598.912,8802623323,1.630621e+12,74171559807.77,43639451000,124204826146.71
"Leverage",43416,54.2098975469873,14.751688503851,16.2987,79.1178,56.2442,44.1284,66.8275
"Leverage_LastY",48256,54.7589185386273,14.8055666425295,19.5868,79.4277,56.4217,44.2861,67.3616
"ROE",43416,8.95479627096002,9.36056940549096,-13.7082,52.8955,7.0183,3.1342,12.5935
"ROE_LastY",48256,8.95762967299403,10.0146335772494,-44.654,52.8955,7.0579,3.4083,13.0486
"CapitalExpenditure",43416,30168338968.5179,59456485936.6988,140524442.13,3.26762e+11,10780123000,3656135000,2.0935e+10
"CapitalExpenditure_LastY",48256,30469329019.9372,60478228155.997,126931625.83,3.26762e+11,10780123000,3647776000,2.0935e+10
"MV",48256,14419378791.4837,14124144672.5354,0,93508130171.3,8828922804.24,5385171125.36,19615067411.22
"MV_LastY",48256,13974940741.8525,13748892479.8751,2394086258.22,93508130171.3,8592761622.06,5178049159,19067449233.1
"mean_vola_Low",48256,0.0172898779167326,0.00502839132198812,0.00768065902433654,0.0366590989080129,0.0171780287945044,0.0132716979498492,0.0199238999849358
"FRM_5_HighCarbonIntens",48256,0.0457875098640584,0.0255825635899223,0.021122,0.197536,0.039316,0.028649,0.051796
"FRM_1_HighCarbonIntens",48256,0.0083779115757626,0.00489928045869449,0.003775,0.033923,0.006779,0.005092,0.009412
"FRM_10_HighCarbonIntens",48256,0.0981365932526525,0.0528202274288148,0.043474,0.362813,0.084597,0.063557,0.110281
"FRM_5_LowCarbonIntens",48256,0.0443096808479775,0.0205053816978602,0.020064,0.141719,0.038627,0.030901,0.050263
"FRM_1_LowCarbonIntens",48256,0.00810119500165783,0.00395904568035539,0.003658,0.027914,0.006928,0.005537,0.009032
"FRM_10_LowCarbonIntens",48256,0.0951712753854443,0.0442824869021318,0.041542,0.280613,0.082268,0.064899,0.109118
"FRM_5_High_Low",48256,1.02384276331238,0.196367626970133,0.592434910758146,2.19032589547857,0.998034379095044,0.891574056332631,1.13004460062171
"FRM_10_High_Low",48256,1.02974432234728,0.211510383625897,0.565850756989102,2.1599221938289,1.00933242019401,0.891765908817515,1.13871442324672
"FRM_1_High_Low",48256,1.02336615447048,0.214468988728724,0.483115302707636,2.0505649401499,0.998062356878633,0.876232380021185,1.13269920474037
"ID_stata",48256,10.5379227453581,5.75612300547963,1,20,11,6,16
"BM_LastY",48256,1696.30981303226,2303.61015926789,38.7316551208496,12350.1767578125,751.598754882812,365.399841308594,2020.029296875
"logSize_LastY",48256,25.9997082721412,1.17794587671936,23.477596282959,28.6145038604736,26.09983253479,25.3507175445557,26.5525321960449
"Invest_Asset_LastY",48256,6.19329067025042,3.62091075603713,0.641976952552795,18.3913230895996,5.51175403594971,3.58443355560303,8.11591339111328
"vol_High_Bench",48256,0.959537905989528,0.402018969434571,0.0106938285753131,4.471275806427,0.891239553689957,0.668917566537857,1.18682074546814
"log_FRM_5_High_Low",48256,0.00601033756602216,0.186099438697295,-0.523514270782471,0.784050345420837,-0.00196755537763238,-0.114766776561737,0.122257098555565
"log_FRM_1_High_Low",48256,0.00212779889452046,0.203542492695375,-0.727499902248383,0.718115329742432,-0.0019395228009671,-0.132123947143555,0.12460345774889
"log_FRM_10_High_Low",48256,0.0094505421432005,0.197545871213341,-0.56942492723465,0.770072221755981,0.0092891426756978,-0.114551611244678,0.129899930208921
