"Var","Obs","Mean","Std","Min","Max","Median","P25","P75"
"Return",2495,0.000118404897489273,0.00783850782297414,-0.0415206181889935,0.0322661742504675,0.00017285411075253,-0.00423021868512725,0.0048518357416138
"FRM_5_HighCarbonIntens",2495,0.0455150613226453,0.025157758971406,0.021122,0.197536,0.038985,0.0287765,0.051352
"FRM_1_HighCarbonIntens",2495,0.00832396032064128,0.00481768431036146,0.003775,0.033923,0.006765,0.005117,0.0093355
"FRM_10_HighCarbonIntens",2495,0.0975654452905812,0.0519868944333444,0.043474,0.362813,0.084141,0.063829,0.109504
"FRM_5_LowCarbonIntens",2495,0.0440091118236473,0.0202050927588682,0.020064,0.141719,0.038382,0.03112,0.0496745
"FRM_1_LowCarbonIntens",2495,0.00804356673346693,0.00389953027328947,0.003658,0.027914,0.006901,0.005558,0.008926
"FRM_10_LowCarbonIntens",2495,0.0944547711422846,0.043655686356597,0.041542,0.280613,0.081515,0.0652435,0.10797
"FRM_5_High_Low",2495,1.02582589430962,0.197147579389213,0.592434910758146,2.19032589547857,1.00078911564626,0.892584869244285,1.1319957505478
"FRM_10_High_Low",2495,1.03243470807882,0.212147199581878,0.565850756989102,2.1599221938289,1.0116041173838,0.892876997972398,1.14275115182477
"FRM_1_High_Low",2495,1.0250032072378,0.212943986834701,0.483115302707636,2.0505649401499,1.00201487910725,0.877499121059416,1.13385836240799
"Change_TY3M",2494,-0.000270466220236069,0.0208213641081261,-0.222219163655167,0.183032339395491,0,-0.00879976939991153,0.00776738410597038
"Slope",2494,0.820981996792302,0.325125315950116,-0.1106,1.8939,0.7882,0.6287,1.0275
"TED",2494,0.698530553327987,0.410807720098874,-0.2163,1.8509,0.59855,0.417125,0.8626
"RealEstate_excess",2494,-0.000388337417660386,0.0156758002423004,-0.0993579100198705,0.0761281908665641,-8.93216654507256e-05,-0.00855733489290999,0.00743722384229839
"MKreturn",2494,0.000131000294279492,0.0132431494796781,-0.0887290560919087,0.0775509348554451,0.00046779152380827,-0.00528333749320131,0.00604265974752294
"MKvol",2494,0.0117367244048658,0.00602465662701746,0.00420351488870438,0.0369119481664358,0.00998785542947974,0.00748776182066063,0.0143279278794312
"CarbonVol_Shenzhen",2485,0.26927631620167,0.264025825617156,0.0174441570811526,1.19506337209205,0.166769213397077,0.0924506330172782,0.342350520871445
"CarbonVol_Guangdong",2485,0.0377855565826349,0.0229826642633593,0.00711412246102744,0.0935644063775716,0.0335641953871972,0.0181354427437749,0.0562052599242728
"CarbonVol_Hubei",2485,0.0268283265984601,0.0105832422110556,0.0067685851973806,0.0573935036247033,0.0269740281844789,0.0179948240021978,0.0329558391968694
"Event",2495,0.00480961923847695,0.0691983092427861,0,1,0,0,0
"CResidual",2494,-1.2044780634974e-34,1.06016900352458e-17,-1.10114908722891e-17,5.28448566709114e-16,-2.05275924214359e-19,-4.25247849970209e-19,-1.03966347620586e-20
"VaRRMAY_95",2433,0.0125006736406365,0.00352591501196811,0.00377203437174712,0.0268751187956998,0.0121611669490424,0.0104086674861287,0.0144174100821494
"VaREMAY_95",2433,0.0118683326155315,0.00357475163826867,0.00290791322808569,0.0278140673179259,0.0114409238004189,0.00976025657082099,0.0136781364001948
"VaRRMAY_99",2433,0.0176206062755786,0.00500546620067581,0.00564184269515893,0.0377343022798413,0.0169286030941889,0.0146891038169723,0.0203069394718596
"VaREMAY_99",2433,0.0167262742965391,0.00513836019653054,0.00441969967128619,0.0405917612682573,0.0160922834416369,0.0136531319038839,0.0192888989246765
"VaRRMAY_90",2433,0.00977125649811017,0.00275729272426709,0.00277215730882272,0.0211458020941851,0.00955206213497331,0.00819463811755457,0.0113143968745725
"VaREMAY_90",2433,0.00927858188110895,0.00276061329452016,0.00210198546924185,0.0210144561004488,0.00897824571708346,0.00766772354347898,0.0107262028034308
"VaRRMAY_5",2433,-0.0122142518346695,0.00410873279039641,-0.0278847013598083,-0.00525389949520348,-0.0115210518028074,-0.0138908854224736,-0.00939913449667645
"VaREMAY_5",2433,-0.0115819108095645,0.00441157570357573,-0.033866383626577,-0.00391709244972293,-0.0108438795012056,-0.0136230302172831,-0.00867625948935592
"VaRRMAY_1",2433,-0.0173341844696116,0.00559891579332843,-0.038587711744713,-0.00712370781861529,-0.0164435271065115,-0.0199410157122051,-0.0136217669857602
"VaREMAY_1",2433,-0.0164398524905721,0.0059878922320856,-0.0466440775769084,-0.00590156479474255,-0.0155478357940457,-0.0192070275047514,-0.0124401029421733
"VaRRMAY_10",2433,-0.00948483469214318,0.00332708248297695,-0.0221988724923026,-0.00406966365171471,-0.00891460591138759,-0.0107899000927496,-0.00716368249918615
"VaREMAY_10",2433,-0.00899216007514195,0.00358162197406531,-0.0270546422626433,-0.00275691778015346,-0.00836519316383317,-0.0105579671628761,-0.00663066743832685
"QrVaR_1",2423,-0.0100717889076027,0.00887785828052212,-0.0564958684424695,0.0285234333750519,-0.00904163741722822,-0.014665550388641,-0.00403646444464923
"QrVaR_5",2423,-0.00994002533895197,0.00879036182752457,-0.0564958684424695,0.0285234333750519,-0.00894031183668784,-0.0145202372408428,-0.00399819643646189
"QrVaR_10",2423,-0.00826711072073519,0.00763171333182824,-0.0533697008678413,0.028523433375052,-0.00716390933589513,-0.0124979435751833,-0.00329266941975366
"QrVaR_90",2423,0.00802434481986167,0.00694602331560576,-0.0203166462400282,0.059940861986523,0.00734353322129199,0.00377391226407481,0.0114726910750992
"QrVaR_95",2423,0.00918352427010478,0.00766778056658038,-0.0183565847082387,0.0592458634866403,0.00822405844767636,0.00415026480607051,0.0128574360245918
"QrVaR_99",2423,0.00923928574825092,0.00779447875127722,-0.0183565847082387,0.0592458634866403,0.00824695757867465,0.00413871074819998,0.0129913216944927
