"Var","Obs","Mean","Std","Min","Max","Median","P25","P75"
"Return",2433,0.0143210902983498,0.105665899260862,-0.446114231038536,0.315291131482957,0.033540580292967,-0.0575136094451058,0.0922186760747572
"FRM_5_HighCarbonIntens",2433,0.0456261146732429,0.0254332824792274,0.021122,0.197536,0.039138,0.028676,0.051638
"FRM_1_HighCarbonIntens",2433,0.00834727620221948,0.00487317701114013,0.003775,0.033923,0.006747,0.005095,0.009379
"FRM_10_HighCarbonIntens",2433,0.0977962959309494,0.0525318193903318,0.043474,0.362813,0.084152,0.063576,0.109767
"FRM_5_LowCarbonIntens",2433,0.0442123526510481,0.0204165885464635,0.020064,0.141719,0.038639,0.030881,0.050103
"FRM_1_LowCarbonIntens",2433,0.00807997575010275,0.00394145927703854,0.003658,0.027914,0.006939,0.005519,0.009004
"FRM_10_LowCarbonIntens",2433,0.0949393764899301,0.0440871238889521,0.041542,0.280613,0.08236,0.064765,0.108739
"FRM_5_High_Low",2433,1.02303308040314,0.19711834681443,0.592434910758146,2.19032589547857,0.997057587221522,0.890798302067643,1.13000385888661
"FRM_10_High_Low",2433,1.02911960697739,0.212343756002498,0.565850756989102,2.1599221938289,1.00865817091454,0.890415526075665,1.13854384914696
"FRM_1_High_Low",2433,1.02263547577161,0.214074965235231,0.483115302707636,2.0505649401499,0.99774584389969,0.874054054054054,1.13222748815166
"Change_TY3M",2432,-0.000249748042409397,0.0209643640818406,-0.222219163655167,0.183032339395491,0,-0.00872556525812327,0.0077959354989364
"Slope",2432,0.833157565789474,0.319661267320719,-0.1106,1.8939,0.7949,0.645225,1.0414
"TED",2432,0.685642228618421,0.405404449061995,-0.2163,1.8509,0.5865,0.41255,0.8394
"RealEstate_excess",2432,-0.000312350644084104,0.0153794043590539,-0.0993579100198705,0.0761281908665641,-8.93216654507256e-05,-0.0083516098714973,0.00736087842536737
"MKreturn",2432,5.29611954085374e-06,0.0131334576256046,-0.0887290560919087,0.0775509348554451,0.000448483731614324,-0.00532854688292561,0.00593732222230647
"MKvol",2432,0.0117626054323685,0.00607888002054084,0.00420351488870438,0.0369119481664358,0.0100293742423371,0.00745055233990998,0.0143808182414939
"CarbonVol_Shenzhen",2423,0.272656782043785,0.266515511559041,0.0174441570811526,1.19506337209205,0.172592534708743,0.0900581527131787,0.356841485755631
"CarbonVol_Guangdong",2423,0.0371322621046336,0.0229016014634514,0.00711412246102744,0.0935644063775716,0.0281419747633793,0.0180692139163543,0.0544477770877256
"CarbonVol_Hubei",2423,0.0270597762679527,0.0105670990295551,0.0067685851973806,0.0573935036247033,0.0272018136472903,0.0188173898223715,0.0331067377589936
"Event",2433,0.00493218249075216,0.0700704937869872,0,1,0,0,0
"CResidual",2432,-2.08871411018559e-19,5.26619626436045e-19,-3.61490284103927e-18,5.04538156045743e-18,-2.06706948277837e-19,-4.24780467682637e-19,-1.20165933108238e-20
"VaRRMAY_95",2433,0.0125006736406365,0.00352591501196811,0.00377203437174712,0.0268751187956998,0.0121611669490424,0.0104086674861287,0.0144174100821494
"VaREMAY_95",2433,0.0118683326155315,0.00357475163826867,0.00290791322808569,0.0278140673179259,0.0114409238004189,0.00976025657082099,0.0136781364001948
"VaRRMAY_99",2433,0.0176206062755786,0.00500546620067581,0.00564184269515893,0.0377343022798413,0.0169286030941889,0.0146891038169723,0.0203069394718596
"VaREMAY_99",2433,0.0167262742965391,0.00513836019653054,0.00441969967128619,0.0405917612682573,0.0160922834416369,0.0136531319038839,0.0192888989246765
"VaRRMAY_90",2433,0.00977125649811017,0.00275729272426709,0.00277215730882272,0.0211458020941851,0.00955206213497331,0.00819463811755457,0.0113143968745725
"VaREMAY_90",2433,0.00927858188110895,0.00276061329452016,0.00210198546924185,0.0210144561004488,0.00897824571708346,0.00766772354347898,0.0107262028034308
"VaRRMAY_5",2433,-0.0122142518346695,0.00410873279039641,-0.0278847013598083,-0.00525389949520348,-0.0115210518028074,-0.0138908854224736,-0.00939913449667645
"VaREMAY_5",2433,-0.0115819108095645,0.00441157570357573,-0.033866383626577,-0.00391709244972293,-0.0108438795012056,-0.0136230302172831,-0.00867625948935592
"VaRRMAY_1",2433,-0.0173341844696116,0.00559891579332843,-0.038587711744713,-0.00712370781861529,-0.0164435271065115,-0.0199410157122051,-0.0136217669857602
"VaREMAY_1",2433,-0.0164398524905721,0.0059878922320856,-0.0466440775769084,-0.00590156479474255,-0.0155478357940457,-0.0192070275047514,-0.0124401029421733
"VaRRMAY_10",2433,-0.00948483469214318,0.00332708248297695,-0.0221988724923026,-0.00406966365171471,-0.00891460591138759,-0.0107899000927496,-0.00716368249918615
"VaREMAY_10",2433,-0.00899216007514195,0.00358162197406531,-0.0270546422626433,-0.00275691778015346,-0.00836519316383317,-0.0105579671628761,-0.00663066743832685
"QrVaR_1",2423,-0.0100717889076027,0.00887785828052212,-0.0564958684424695,0.0285234333750519,-0.00904163741722822,-0.014665550388641,-0.00403646444464923
"QrVaR_5",2423,-0.00994002533895197,0.00879036182752457,-0.0564958684424695,0.0285234333750519,-0.00894031183668784,-0.0145202372408428,-0.00399819643646189
"QrVaR_10",2423,-0.00826711072073519,0.00763171333182824,-0.0533697008678413,0.028523433375052,-0.00716390933589513,-0.0124979435751833,-0.00329266941975366
"QrVaR_90",2423,0.00802434481986167,0.00694602331560576,-0.0203166462400282,0.059940861986523,0.00734353322129199,0.00377391226407481,0.0114726910750992
"QrVaR_95",2423,0.00918352427010478,0.00766778056658038,-0.0183565847082387,0.0592458634866403,0.00822405844767636,0.00415026480607051,0.0128574360245918
"QrVaR_99",2423,0.00923928574825092,0.00779447875127722,-0.0183565847082387,0.0592458634866403,0.00824695757867465,0.00413871074819998,0.0129913216944927
"Year",2433,2019.54829428689,2.89726613859226,2015,2025,2020,2017,2022
