"Var","Obs","Mean","Std","Min","Max","Median","P25","P75"
"mean_vola_Low",2443,0.0172567672498033,0.00501777417005841,0.00768065902433654,0.0366590989080129,0.0171411678203552,0.0132658864145434,0.0198896282576297
"mean_vola_High",2443,0.0164718748500449,0.00611995847544939,0.00876000745100104,0.0416553728973432,0.0148633954584553,0.012399463070981,0.0189390536292028
"FRM_5_High_Low",2447,1.02345654602506,0.197804218023248,0.592434910758146,2.19032589547857,0.997276888313795,0.890762077089761,1.13011275413404
"FRM_10_High_Low",2447,1.02951625379838,0.213037985472307,0.565850756989102,2.1599221938289,1.00879031961455,0.890371538806912,1.13888123845167
"FRM_1_High_Low",2447,1.02271566600253,0.214443230066697,0.483115302707636,2.0505649401499,0.997875354107649,0.873943226157249,1.13270949580685
"Change_TY3M",2504,-0.000261591279616898,0.0207854221916132,-0.222219163655167,0.183032339395491,0,-0.00875102134543787,0.00777131686066765
"Slope",2504,0.821221845047923,0.325786673971949,-0.1106,1.8939,0.7885,0.6287,1.0276
"TED",2504,0.698309704472843,0.410477500391531,-0.2163,1.8509,0.59855,0.417175,0.8618
"RealEstate_excess",2504,-0.000406182128700719,0.0156592124813812,-0.0993579100198705,0.0761281908665641,-9.07733984067959e-05,-0.00857718142480013,0.00739637033054485
"MKreturn",2504,0.000128205623927672,0.0132375158392284,-0.0887290560919087,0.0775509348554451,0.00046779152380827,-0.00529849596217291,0.00604342267401892
"MKvol",2504,0.0117430251528458,0.00603169138289872,0.00420351488870438,0.0369119481664358,0.00999540250099891,0.00748905012224534,0.0143325170282728
"CarbonVol_Shenzhen",2495,0.269576716370256,0.264104535095741,0.0174441570811526,1.19506337209205,0.166770066718877,0.0929712722699746,0.344368317456894
"CarbonVol_Guangdong",2495,0.0377811771574409,0.0229894048378682,0.00711412246102744,0.0935644063775716,0.0335641953871972,0.0181352240073823,0.0562033746435156
"CarbonVol_Hubei",2495,0.0268546009022029,0.0105854113983149,0.0067685851973806,0.0573935036247033,0.0269900523899647,0.0180871726065802,0.0329704104743306
"Vol_Ratio",2443,0.959846620988124,0.192784207750727,0.597304880619049,1.50812745094299,0.960514903068542,0.786011189222336,1.1004524230957
