"Var","Obs","Mean","Std","Min","Max","Median","P25","P75"
"FRM_High",2446,0.0456631618969747,0.0254594781913018,0.021122,0.197536,0.039204,0.02867725,0.051669
"FRM_Low",2446,0.0442357869991823,0.0204129916216315,0.020064,0.141719,0.038689,0.03089275,0.05012925
"Year",2446,2019.53720359771,2.89757775383381,2015,2025,2020,2017,2022
"Month",2446,6.55968928863451,3.44627390521986,1,12,7,4,9
"FRM_High_Low",2446,1.0232751398601,0.197640967507791,0.592434910758146,2.19032589547857,0.997167237767659,0.89074396460082,1.13007238573921
"FRM_High_Low_1",2446,1.02262510019495,0.214440267095986,0.483115302707636,2.0505649401499,0.99781059900367,0.873922679577997,1.13258225479495
"FRM_High_Low_10",2446,1.02935805397641,0.212937735348011,0.565850756989102,2.1599221938289,1.00872424526455,0.890349545172535,1.1387985092945
"Id",2446,1224.5,706.243702036816,2,2447,1224.5,613.25,1835.75
"SmoothFRMDiff",2446,1.02377431854626,0.156784928641667,0.717071657471583,1.51302593048801,1.007501932807,0.906900615805778,1.10875770298761
"deltaSmoothFRMDiff",2446,-0.0271728140423313,0.230255042590175,-0.720423738332014,0.556772690839236,-0.0105640191027698,-0.180979248904939,0.130932154978596
"SmoothFRMDiff_1",2446,1.02177637037224,0.166860232329723,0.709496543582097,1.61609365533724,0.997369478005963,0.907409900397411,1.1158175472035
"deltaSmoothFRMDiff_1",2446,-0.0211881231753339,0.238031796177349,-0.605475052320958,0.584737473802022,-0.0068547012868958,-0.198746834425622,0.112305473201481
"SmoothFRMDiff_10",2446,1.02959989814369,0.177343870786983,0.709512656019744,1.61978779778304,1.02636827257558,0.905552739261336,1.11706457909618
"deltaSmoothFRMDiff_10",2446,-0.0292986413309243,0.215224353990967,-0.773678710436458,0.554518959331066,-0.0289718001572598,-0.165066919013083,0.125163984264462
