"Var","Obs","Mean","Std","Min","Max","Median","P25","P75"
"Year",854686,2019.57446711424,2.86121078572587,2015,2024,2020,2017,2022
"Sharpe_vol_High",854686,0.0689565084391491,0.0277133950996151,0.0116040267733083,0.333452202885007,0.0631217270551979,0.0486228032769836,0.0834397295092411
"Vol_High",854686,0.0264080947341416,0.0113696690699867,6.74274341327414e-05,0.0969565918872861,0.0244574404713319,0.0182446212313747,0.0321647728785705
"Asset",773616,40984490464.8324,171991828217.214,26008562.43,2.75271e+12,9086848152.08,3688820157.31,26854733218.58
"Asset_LastY",854686,40079994622.1868,170823517875.913,95071788.11,2.75271e+12,8652579701.77,3501531399.81,25559929633.02
"Equity",770228,18989151083.3209,93506324117.8595,-29068665402.31,1.630621e+12,4357858127.19,1916499582.59,11866474235
"Equity_LastY",854686,18427531125.0658,92362769891.9134,-29068665402.31,1.630621e+12,4104112159.03,1832092099.75,11273626663.46
"Leverage",770228,50.0924135295004,39.0491955035624,1.3062,1879.0356,49.7505,34.7621,63.05815
"Leverage_LastY",854686,49.430568758585,19.9995878237414,7.7738,98.0062,49.9348,34.7912,63.389
"ROE",764351,3.2013369357795,68.4742245004184,-3106.233,871.5032,6.0359,1.8145,11.3986
"ROE_LastY",849327,3.26121351799719,67.3149917107567,-3106.233,449.6091,5.944,1.7116,11.2716
"CapitalExpenditure",768967,2628711889.30082,15795080113.8456,25790,3.26762e+11,334139687.77,91778314.26,1216946065.13
"CapitalExpenditure_LastY",854686,2608383295.08938,16040426687.6962,8780,3.26762e+11,322497029.69,89411834.08,1162308399.89
"MV",854686,22323287434.2468,81927524454.3683,0,1636207541692.92,7960761750.75,4359497611.3,18107799920.9
"MV_LastY",854686,21746533828.1728,82840181163.0137,1053610886.55,1978456770212.58,7.74e+09,4263618873.4,17249002650
"mean_Sharpe_vol_Low",854686,0.0702762517970777,0.0129341497303246,0.0463744349501437,0.132104005080157,0.0666781078111341,0.0622732772548923,0.0747690714623471
"mean_vola_Low",854686,0.0279443969917542,0.00744626329587318,0.0167626853338778,0.0595830986457997,0.0270392083781207,0.0229614035774996,0.030361569770583
"FRM_5_HighCarbonIntens",854686,0.045411037224197,0.0250695505770577,0.021122,0.197536,0.039237,0.028561,0.05157
"FRM_1_HighCarbonIntens",854686,0.00831216371041529,0.00481574499251839,0.003775,0.033923,0.006766,0.005084,0.009371
"FRM_10_HighCarbonIntens",854686,0.0973097119304634,0.0517806602549499,0.043474,0.362813,0.084257,0.063334,0.109591
"FRM_5_LowCarbonIntens",854686,0.0440022157540898,0.0201081494466807,0.020064,0.141719,0.038516,0.030815,0.049902
"FRM_1_LowCarbonIntens",854686,0.00804869767844565,0.00389111640189207,0.003658,0.027914,0.006918,0.005514,0.008978
"FRM_10_LowCarbonIntens",854686,0.0944949640628254,0.0434392269027631,0.041542,0.280613,0.081995,0.064697,0.108574
"FRM_5_High_Low",854686,1.02322196675412,0.196724018216911,0.592434910758146,2.19032589547857,0.997057587221522,0.891295301505637,1.12958424877472
"FRM_10_High_Low",854686,1.02900888860729,0.212309883238469,0.565850756989102,2.1599221938289,1.00793368857312,0.890517891698645,1.13734478661774
"FRM_1_High_Low",854686,1.02248714111008,0.213914822446503,0.483115302707636,2.0505649401499,0.997875354107649,0.875804967801288,1.13220018885741
"ID_stata",854686,181.897040550565,104.421498684524,1,362,182,91,272
"BM_LastY",854686,63.8406309236595,42.1012518476833,0.792633771896362,196.982177734375,54.1359596252441,32.6147232055664,86.8020248413086
"logSize_LastY",854686,23.012099223544,1.44293299510299,19.8388614654541,26.7463550567627,22.8811225891113,21.9764671325684,23.9642925262451
"Invest_Asset_LastY",854686,4.77884196659481,4.04939406265303,0.090911366045475,21.1343154907227,3.73301577568054,1.74818706512451,6.65284872055054
"Sharpe_vol_High_Bench",854686,0.98611072412255,0.366804534482552,0.179344281554222,4.92469882965088,0.923733830451965,0.725319758057594,1.17333716154099
"log_Sharpe_vol_High_Bench",854686,-0.0777571611605955,0.355785153394675,-1.71844792366028,1.59426307678223,-0.079331312328577,-0.321142688393593,0.159851968288422
"vol_High_Bench",854686,0.945265723726136,0.324433436088816,0.00173833360895514,3.47509074211121,0.910823315382004,0.715780466794968,1.12514129281044
"log_vol_High_Bench",854686,-0.114771682019848,0.348491642782235,-6.35482835769653,1.24562060832977,-0.0934063456952572,-0.334381774067879,0.117908623069525
"log_FRM_5_High_Low",854686,0.00532982491010372,0.186461103202077,-0.523514270782471,0.784050345420837,-0.00294675026088953,-0.11507947742939,0.12184964120388
"log_FRM_1_High_Low",854686,0.00132794041271401,0.203286274328406,-0.727499902248383,0.718115329742432,-0.00212690606713295,-0.132611855864525,0.124162808060646
"log_FRM_10_High_Low",854686,0.00858109444379793,0.198251664276202,-0.56942492723465,0.770072221755981,0.00790238194167614,-0.115952081978321,0.128696411848068
